Movie,Votes,Director,Stars,Description
Pirates of the Caribbean: Dead Men Tell No Tales,218089,"Joachim Rønning,Espen Sandberg","Johnny Depp,Geoffrey Rush,Javier Bardem,Orlando Bloom",Captain Jack Sparrow searches for the trident of Poseidon while being pursued by an undead sea captain and his crew.
xXx: Return of Xander Cage,75816,D.J. Caruso,"Vin Diesel,Donnie Yen,Deepika Padukone,Kris Wu","Xander Cage is left for dead after an incident, though he secretly returns to action for a new, tough assignment with his handler Augustus Gibbons."
Bright,142388,David Ayer,"Will Smith,Joel Edgerton,Noomi Rapace,Edgar Ramírez",A detective must work with an Orc to find a powerful wand before evil creatures do.
Kong: Skull Island,225486,Jordan Vogt-Roberts,"Tom Hiddleston,Samuel L. Jackson,Brie Larson,John C. Reilly","A team of scientists explore an uncharted island in the Pacific, venturing into the domain of the mighty Kong, and must fight to escape a primal Eden."
Ghost Stories,20532,"Jeremy Dyson,Andy Nyman","Andy Nyman,Martin Freeman,Paul Whitehouse,Alex Lawther",Skeptical professor Phillip Goodman embarks on a trip to the terrifying after finding a file with details of three unexplained cases of apparitions.
Phantom Thread,79961,Paul Thomas Anderson,"Vicky Krieps,Daniel Day-Lewis,Lesley Manville,Julie Vollono","Set in 1950s London, Reynolds Woodcock is a renowned dressmaker whose fastidious life is disrupted by a young, strong-willed woman, Alma, who becomes his muse and lover."
The Mummy,147508,Alex Kurtzman,"Tom Cruise,Sofia Boutella,Annabelle Wallis,Russell Crowe","An ancient Egyptian princess is awakened from her crypt beneath the desert, bringing with her malevolence grown over millennia, and terrors that defy human comprehension."
Darkest Hour,127881,Joe Wright,"Gary Oldman,Lily James,Kristin Scott Thomas,Ben Mendelsohn","In May 1940, the fate of Western Europe hangs on British Prime Minister Winston Churchill, who must decide whether to negotiate with Adolf Hitler, or fight on knowing that it could mean a humiliating defeat for Britain and its empire."
Escape Room,4478,Will Wernick,"Evan Williams,Annabelle Stephenson,Elisabeth Hower,Dan J. Johnson",Four best friends test their intelligence when an escape room they participate in takes a dark and twisted turn.
The Disaster Artist,105163,James Franco,"James Franco,Dave Franco,Ari Graynor,Seth Rogen","When Greg Sestero, an aspiring film actor, meets the weird and mysterious Tommy Wiseau in an acting class, they form a unique friendship and travel to Hollywood to make their dreams come true."
