Movie,Votes,Director,Stars,Description
Columbus,9513,Kogonada,"John Cho,Haley Lu Richardson,Parker Posey,Michelle Forbes","A Korean-born man finds himself stuck in Columbus, Indiana, where his architect father is in a coma. The man meets a young woman who wants to stay in Columbus with her mother, a recovering addict, instead of pursuing her own dreams."
Kidnap,27718,Luis Prieto,"Halle Berry,Sage Correa,Chris McGinn,Lew Temple",A mother stops at nothing to recover her kidnapped son.
The Clapper,4228,Dito Montiel,"Amanda Seyfried,Ed Helms,Leah Remini,James Ransone",15 minutes of fame destroys the life of a man who works as a clapper in television.
Lean on Pete,7761,Andrew Haigh,"Charlie Plummer,Amy Seimetz,Travis Fimmel,Steve Buscemi","A teenager gets a summer job working for a horse trainer and befriends the fading racehorse, Lean on Pete."
Pokémon the Movie: I Choose You!,3549,Kunihiko Yuyama,"Unshô Ishizuka,Rica Matsumoto,Sarah Natochenny,Megumi Hayashibara",Ash Ketchum from Pallet Town is 10 years old today. This means he is now old enough to become a Pokémon Trainer. Ash dreams big about the adventures he will experience after receiving his first Pokémon from Professor Oak.
Naked,13393,Michael Tiddes,"Marlon Wayans,Regina Hall,Dennis Haysbert,J.T. Jackson","Nervous about finally getting married, a guy is forced to relive the same nerve-wracking hours over and over again until he gets things right on his wedding day."
Killing Gunther,8367,Taran Killam,"Taran Killam,Dave 'Squatch' Ward,Bobby Moynihan,Hannah Simone","A group of eccentric assassins are fed up with Gunther, the world's greatest hitman, and decide to kill him, but their plan turns into a series of bungled encounters as Gunther seems to always be one step ahead."
The Beyond,4345,Hasraf Dulull,"Jane Perry,Nigel Barber,Noeleen Comiskey,Ezra Khan","Set in 2019, The Beyond chronicles the groundbreaking mission which sent astronauts - modified with advanced robotics, through a newly discovered worm hole known as the Void. When the ...                See full summary »"
Unforgettable,10820,Denise Di Novi,"Rosario Dawson,Katherine Heigl,Geoff Stults,Isabella Kai",A woman sets out to make life a living hell for her ex-husband's new fiancée.
Inconceivable,6608,Jonathan Baker,"Gina Gershon,Nicky Whelan,Nicolas Cage,Sienna Soho Baker","A mother looks to escape her abusive past by moving to a new town where she befriends another mother, who grows suspicious of her."
Fullmetal Alchemist,16537,Fumihiko Sori,"Ryôsuke Yamada,Tsubasa Honda,Dean Fujioka,Ryûta Satô",Two alchemist brothers go on a quest for the Philosopher's Stone after an attempt to revive their dead mother goes horribly wrong.
Best F(r)iends: Volume 1,1800,Justin MacGregor,"Greg Sestero,Tommy Wiseau,Kristen StephensonPino,Vince Jolivette","When a drifter befriends a quirky mortician, an unlikely business partnership is formed. Paranoia soon develops, however, and both men are forced to come to terms with the fragility of friendship and loyalty."
6 Days,13342,Toa Fraser,"Jamie Bell,Mark Strong,Abbie Cornish,Martin Shaw","In April 1980, armed gunmen stormed the Iranian Embassy in Princes Gate, London and took all inside hostage. Over the next six days a tense standoff took place, all the while a group of ...                See full summary »"
Western,2216,Valeska Grisebach,"Meinhard Neumann,Reinhardt Wetrek,Syuleyman Alilov Letifov,Veneta Fragnova","A group of German construction workers start a tough job at a remote site in the Bulgarian countryside. The foreign land awakens the men's sense of adventure, but they are also confronted ...                See full summary »"
All Eyez on Me,17796,Benny Boom,"Demetrius Shipp Jr.,Danai Gurira,Kat Graham,Annie Ilonzeh","Tells the true and untold story of prolific rapper, actor, poet and activist Tupac Shakur."
Beach Rats,8793,Eliza Hittman,"Harris Dickinson,Madeline Weinstein,Kate Hodge,Neal Huff",A Brooklyn teenager spends his days experimenting with drugs and looking online for older men to meet with.
Guardians,9458,Sarik Andreasyan,"Anton Pampushnyy,Sanjar Madi,Sebastien Sisak,Alina Lanina","During the Cold War, an organization called ""Patriot"" created a super-hero squad, which includes members of multiple Soviet republics. For years, the heroes had to hide their identities, but in hard times they must show themselves again."
Sweet Virginia,5551,Jamie M. Dagg,"Jon Bernthal,Christopher Abbott,Imogen Poots,Rosemarie DeWitt",A former rodeo champ befriends a young man with a propensity for violence.
Our Souls at Night,7945,Ritesh Batra,"Jane Fonda,Robert Redford,Judy Greer,Matthias Schoenaerts","Fonda and Redford will star as Addie Moore and Louis Waters, a widow and widower who've lived next to each other for years. The pair have almost no relationship, but that all changes when Addie tries to make a connection with her neighbor."
El bar,15767,Álex de la Iglesia,"Blanca Suárez,Mario Casas,Carmen Machi,Secun de la Rosa","In bustling downtown Madrid, a loud gunshot and two mysterious deaths trap a motley assortment of common urbanites in a decrepit central bar, while paranoia and suspicion force the terrified regulars to turn on each other."
The Wall,19437,Doug Liman,"Aaron Taylor-Johnson,John Cena,Laith Nakli","Two American Soldiers are trapped by a lethal sniper, with only an unsteady wall between them."
Beast of the Water,35,Rashaad Santiago,"Gigi Edgley,Steve Cardenas,Santiago Cirilo,Jason Faunt","A research group makes a curious discovery that may lead to the fountain of youth. Meanwhile, an ancient Native American fable sends an ominous warning that those who disrespect nature will...                See full summary »"
Snatched,28881,Jonathan Levine,"Amy Schumer,Goldie Hawn,Kim Caramele,Raven Goodwin","When her boyfriend dumps her before their exotic vacation, a young woman persuades her ultra-cautious mother to travel with her to paradise, with unexpected results."
First They Killed My Father,9672,Angelina Jolie,"Sareum Srey Moch,Phoeung Kompheak,Sveng Socheata,Mun Kimhak",Cambodian author and human rights activist Loung Ung recounts the horrors she suffered as a child under the rule of the deadly Khmer Rouge.
The Ottoman Lieutenant,21993,Joseph Ruben,"Michiel Huisman,Hera Hilmar,Josh Hartnett,Ben Kingsley",This movie is a love story between an idealistic American nurse and a Turkish officer in World War I.
Madame,4185,Amanda Sthers,"Toni Collette,Harvey Keitel,Rossy de Palma,Michael Smiley","Adding a little spice to a waning marriage, Anne and Bob, a wealthy and well-connected American couple, move into a manor house in romantic Paris. While preparing a particularly luxurious ...                See full summary »"
Film Stars Don't Die in Liverpool,5985,Paul McGuigan,"Annette Bening,Jamie Bell,Kenneth Cranham,Julie Walters",A romance sparks between a young actor and a Hollywood leading lady.
Pahuna: The Little Visitors,164,Paakhi A. Tyrewala,"Mahendra Bajgai,Manju Chhetri,Amir Gurung,Binita Gurung",The story of 3 Nepalese children facing extraordinary circumstances. The emotion transcends barriers of language and geography.
Megan Leavey,18141,Gabriela Cowperthwaite,"Kate Mara,Ramon Rodriguez,Tom Felton,Bradley Whitford",Based on the true life story of a young Marine corporal whose unique discipline and bond with her military combat dog saved many lives during their deployment in Iraq.
The Boy Downstairs,913,Sophie Brooks,"Zosia Mamet,Matthew Shear,Deirdre O'Connell,Sarah Ramos",A young woman is forced to reflect on her first relationship when she inadvertently moves into her ex-boyfriend's apartment building.
Alien Code,841,Michael G. Cooney,"Neil Arnote,Aaron Behr,Tate Birchmore,Kyle Gallner","After deciphering a message found in a satellite, brilliant cryptographer Alex Jacobs finds himself being stalked by government agents and otherworldly beings."
F*&% the Prom,3367,Benny Fine,"Danielle Campbell,Joel Courtney,Madelaine Petsch,Cameron Palatas",1st day of high school 2 friends split and 3.5 years later he's still the least popular and she's the most popular girl but brutally loses the throne and allies with her old friend and get Machiavellian at the popular girls and their prom.
Askeladden - I Dovregubbens hall,1399,Mikkel Brænne Sandemose,"Vebjørn Enger,Eili Harboe,Mads Sjøgård Pettersen,Elias Holmen Sørensen","Espen ""Ash Lad"", a poor farmer's son, embarks on a dangerous quest with his brothers to save the princess from a vile troll known as the Mountain King - in order to collect a reward and save his family's farm from ruin."
My Little Pony: The Movie,4941,Jayson Thiessen,"Emily Blunt,Kristin Chenoweth,Liev Schreiber,Michael Peña","After a dark force conquers Canterlot, the Mane 6 embark on an unforgettable journey beyond Equestria where they meet new friends and exciting challenges on a quest to use the magic of friendship to save their homeland."
Loveless,22002,Andrey Zvyagintsev,"Maryana Spivak,Aleksey Rozin,Matvey Novikov,Marina Vasileva",A couple going through a divorce must team up to find their son who has disappeared during one of their bitter arguments.
The Humanity Bureau,7029,Rob W. King,"Nicolas Cage,Sarah Lind,Jakob Davies,Hugh Dillon",A dystopian thriller set in the year 2030 that sees the world in a permanent state of economic recession and facing serious environmental problems as a result of global warming.
Sweet Country,4951,Warwick Thornton,"Bryan Brown,Luka Magdeline Cole,Shanika Cole,Matt Day","Australian western set on the Northern Territory frontier in the 1920s, where justice itself is put on trial when an aged Aboriginal farmhand shoots a white man in self-defense and goes on the run as a posse gathers to hunt him down."
Cult of Chucky,16061,Don Mancini,"Allison Dawn Doiron,Alex Vincent,Brad Dourif,Fiona Dourif","Chucky returns to terrorize his human victim, Nica. Meanwhile, the killer doll has some scores to settle with his old enemies, with the help of his former wife."
The Party,12913,Sally Potter,"Timothy Spall,Kristin Scott Thomas,Patricia Clarkson,Bruno Ganz","Janet hosts a party to celebrate her new promotion, but once the guests arrive it becomes clear that not everything is going to go down as smoothly as the red wine."
Same Kind of Different as Me,3745,Michael Carney,"Greg Kinnear,Renée Zellweger,Djimon Hounsou,Jon Voight","International art dealer Ron Hall must befriend a dangerous homeless man in order to save his struggling marriage to his wife, a woman whose dreams will lead all three of them on the journey of their lives."
Stratton,3217,Simon West,"Dominic Cooper,Austin Stowell,Gemma Chan,Connie Nielsen",A British Special Boat Service commando tracks down an international terrorist cell.
Breath,1611,Simon Baker,"Elizabeth Debicki,Simon Baker,Richard Roxburgh,Jacek Koman","After developing an interest in surfing, a teenage boy and his friend forge an unlikely friendship with an older surfer."
Wish Upon,14011,John R. Leonetti,"Joey King,Ryan Phillippe,Ki Hong Lee,Mitchell Slaggert",A teenage girl discovers a box that carries magic powers and a deadly price for using them.
Ayla: The Daughter of War,24678,Can Ulkay,"Çetin Tekindor,Ismail Hacioglu,Kyung-jin Lee,Kim Seol","In 1950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death,...                See full summary »"
OtherLife,10073,Ben C. Lucas,"Jessica De Gouw,Thomas Cocquerel,Shalom Brune-Franklin,T.J. Power","After inventing a drug that induces time-compressed virtual realities, young Ren grapples with partner Sam over how to use their powerful creation."
Kings,1931,Deniz Gamze Ergüven,"Halle Berry,Daniel Craig,Lamar Johnson,Kaalan Walker","The life of a foster family in South Central Los Angeles, a few weeks before the city erupts in violence following the verdict of the Rodney King trial."
SPF-18,2689,Alex Israel,"Carson Meyer,Noah Centineo,Bianca A. Santos,Jackson White","18-year-old Penny Cooper spent years pining for Johnny Sanders Jr., but when a mysterious musician shows up on the beach, Penny is torn."
Captain Underpants: The First Epic Movie,21067,David Soren,"Kevin Hart,Thomas Middleditch,Ed Helms,Nick Kroll","2 overly imaginative pranksters named George and Harold hypnotize their principal into thinking he's a ridiculously enthusiastic, incredibly dimwitted superhero named Captain Underpants."
Please Stand By,7403,Ben Lewin,"Dakota Fanning,Alice Eve,Toni Collette,Lexi Aaron","A young autistic woman runs away from her caregiver in an attempt to submit her manuscript to a ""Star Trek"" writing competition."
Jeepers Creepers III,13908,Victor Salva,"Stan Shaw,Gabrielle Haugh,Brandon Smith,Meg Foster",Sheriff Dan Tashtego and a team of creeper hunters enlist the help of officer Davis Tubbs to help stop the monster's eating spree.
Vengeance: A Love Story,5277,Johnny Martin,"Nicolas Cage,Anna Hutchison,Talitha Eliana Bateman,Deborah Kara Unger",A gulf war veteran seeks vengeance against those who assaulted a single mother.
Mary and the Witch's Flower,7293,"Hiromasa Yonebayashi,Giles New","Hana Sugisaki,Ryûnosuke Kamiki,Yûki Amami,Fumiyo Kohinata","Based on ""The Little Broomstick"" by Mary Stewart, a strange flower grants a girl magic powers."
Mom,6322,Ravi Udyawar,"Sridevi,Akshaye Khanna,Sajal Ali,Adnan Siddiqui","Devaki is a biology teacher at the same school attended by her stepdaughter Arya. Although, Devaki is a caring mother, Arya remains distant. One unfortunate night, Arya is brutally attacked...                See full summary »"
Sandy Wexler,11421,Steven Brill,"Adam Sandler,Jennifer Hudson,Kevin James,Colin Quinn","Sandy Wexler (Adam Sandler) is a talent manager working in Los Angeles in the 1990s, diligently representing a group of eccentric clients on the fringes of show business. His single-minded ...                See full summary »"
The Lodgers,5935,Brian O'Malley,"Charlotte Vega,Bill Milner,Eugene Simon,David Bradley","1920, rural Ireland. Anglo Irish twins Rachel and Edward share a strange existence in their crumbling family estate. Each night, the property becomes the domain of a sinister presence (The ...                See full summary »"
Loophole,246,Jenni Ivers,"Chloe Lukasiak,Jessica Shannon,Deven Bromme,Kera O'Bryon","The future of humanity hangs in the balance, as both sides race against time to find the bloodline of Judas Iscariot. When Lexi Smith, a simple college student, finds herself in the middle ...                See full summary »"
Goon: Last of the Enforcers,9671,Jay Baruchel,"Seann William Scott,Alison Pill,Marc-André Grondin,Liev Schreiber",A hockey player plagued by injuries is confronted with the possibility of retirement when a tough new player challenges his status as the league's top enforcer.
24 Hours to Live,9356,Brian Smrz,"Ethan Hawke,Qing Xu,Paul Anderson,Rutger Hauer",An assassin seeks redemption after being given a second chance at life.
Double Lover,7592,François Ozon,"Marine Vacth,Jérémie Renier,Jacqueline Bisset,Myriam Boyer","Chloé, a fragile young woman, falls in love with her psychoanalyst, Paul. A few months later she moves in with him, but soon discovers that her lover is concealing a part of his identity."
Super Dark Times,13230,Kevin Phillips,"Owen Campbell,Charlie Tahan,Elizabeth Cappuccino,Amy Hargreaves","Teenagers Zach and Josh have been best friends their whole lives, but when a gruesome accident leads to a cover-up, the secret drives a wedge between them and propels them down a rabbit hole of escalating paranoia and violence."
Open Water 3: Cage Dive,2951,Gerald Rascionato,"Joel Hogan,Josh Potthoff,Megan Peta Hill,Pete Valley","Three friends filming an audition tape for an extreme reality show take part in shark cage diving, only to be left in great white infested waters, turning their recording into life and ...                See full summary »"
How to Be a Latin Lover,11150,Ken Marino,"Eugenio Derbez,Salma Hayek,Raphael Alejandro,Rob Lowe","Finding himself dumped after 25 years of marriage, a man who made a career of seducing rich older women must move in with his estranged sister, where he begins to learn the value of family."
The Forgiven,1214,Roland Joffé,"Forest Whitaker,Eric Bana,Jeff Gum,Morné Visser","After the end of Apartheid, Archbishop Desmond Tutu meets with a brutal murderer seeking redemption."
All of You,83,Dan Villegas,"Derek Ramsay,Jennylyn Mercado,Sam Milby,Rafael Rosell","Two strangers met, fell in love fast, and have to decide after three years where their relationship is really going. Will they give up on love or continue to make it last? All of You is sure to make you fall in love over and over again."
Wonderstruck,7765,Todd Haynes,"Oakes Fegley,Julianne Moore,Michelle Williams,Millicent Simmonds","Tells the tale of two children separated by fifty years. In 1927, Rose searches for the actress whose life she chronicles in her scrapbook; in 1977, Ben runs away from home to find his father."
Overdrive,9738,Antonio Negret,"Scott Eastwood,Freddie Thorp,Ana de Armas,Gaia Weiss","Two car thief brothers, who journey to the south of France for new opportunities, wind up in the cross hairs of the local crime boss."
On Body and Soul,17922,Ildikó Enyedi,"Géza Morcsányi,Alexandra Borbély,Zoltán Schneider,Ervin Nagy",When slaughterhouse workers Endre and Mária discover they share the same dreams - where they meet in a forest as deer and fall in love - they decide to make their dreams come true but it's difficult in real life.
Pengabdi Setan,4929,Joko Anwar,"Tara Basro,Bront Palarae,Dimas Aditya,Endy Arfian","After dying from a strange illness that she suffered for 3 years, a mother returns home to pick up her children."
A Fantastic Woman,17026,Sebastián Lelio,"Daniela Vega,Francisco Reyes,Luis Gnecco,Aline Küppenheim","Marina, a transgender woman who works as a waitress and moonlights as a nightclub singer, is bowled over by the death of her older boyfriend."
Little Evil,15054,Eli Craig,"Evangeline Lilly,Owen Atlas,Adam Scott,Marcus Terrell Smith","Gary, who has just married Samantha, the woman of his dreams, discovers that her six-year-old son may be the Antichrist."
Belzebuth,147,Emilio Portes,"Joaquín Cosio,Tobin Bell,Tate Ellington,Aida López","After losing his family in an extremely tragic way, Detective Ritter must investigate a massacre at a school perpetrated by a student. What seemed like a pretty clear case becomes much more...                See full summary »"
The Pirates of Somalia,6473,Bryan Buckley,"Evan Peters,Al Pacino,Melanie Griffith,Barkhad Abdi","In 2008, rookie journalist Jay Bahadur forms a half-baked plan to embed himself among the pirates of Somalia. He ultimately succeeds in providing the first close-up look into who these men ...                See full summary »"
Clinical,4761,Alistair Legrand,"Vinessa Shaw,Kevin Rahm,India Eisley,Aaron Stanford","A psychiatrist tries to put her life back together after a violent attack by seeking to repair the life of a new patient, but he has his own terrifying history."
The Star,4893,Timothy Reckart,"Steven Yeun,Keegan-Michael Key,Aidy Bryant,Gina Rodriguez",A small but brave donkey and his animal friends become the unsung heroes of the first Christmas.
Attraction,7069,Fedor Bondarchuk,"Irina Starshenbaum,Alexander Petrov,Rinal Mukhametov,Oleg Menshikov","After an alien ship crash lands onto a Russian city, many who saw it and the occupants start to question their own existence while there are those who demand the aliens leave Earth."
The Vault,9851,Dan Bush,"James Franco,Scott Haze,Taryn Manning,Francesca Eastwood",Two estranged sisters are forced to rob a bank in order to save their brother. But this is no ordinary bank.
A Crooked Somebody,440,Trevor White,"Michael Mosley,Ed Harris,Amanda Crew,Clifton Collins Jr.",An attention-seeking psychic is kidnapped and tries to use the situation to boost his popularity.
Trauma,357,Lucio A. Rojas,"Catalina Martin,Macarena Carrere,Ximena del Solar,Dominga Bofill","Four friends visit a rural locality of Chile, are brutally attacked by a man and his son. After not finding help in the town, they decide to confront these men with the help of a pair of ...                See full summary »"
November Criminals,6356,Sacha Gervasi,"Ansel Elgort,Chloë Grace Moretz,David Strathairn,Catherine Keener","After his friend is murdered, a Washington, D.C. teenager undertakes his own investigation of the crime."
The House of Tomorrow,856,Peter Livolsi,"Asa Butterfield,Alex Wolff,Nick Offerman,Ellen Burstyn","The film tells futurist, architect, and inventor R. Buckminster Fuller's incredible story through two teens hoping to get laid, become punk gods, and survive high school."
Radius,9096,"Caroline Labrèche,Steeve Léonard","Diego Klattenhoff,Charlotte Sullivan,Brett Donahue,Bradley Sawatzky","A man wakes up with no memory of who he is, and finds that everyone who comes within a certain distance of him suddenly dies."
Pyewacket,4664,Adam MacDonald,"Nicole Muñoz,Laurie Holden,Chloe Rose,Eric Osborne","A frustrated, angst-ridden teenage girl awakens something in the woods when she naively performs an occult ritual to evoke a witch to kill her mother."
Patti Cake$,8249,Geremy Jasper,"Sahr Ngaujah,Danielle Macdonald,Bridget Everett,Mamoudou Athie","PATTI CAKE$ is centered on aspiring rapper Patricia Dombrowski, a.k.a. Killa P, a.k.a. Patti Cake$, who is fighting an unlikely quest for glory in her downtrodden hometown in New Jersey."
Bullet Head,5906,Paul Solet,"Adrien Brody,Antonio Banderas,John Malkovich,Rory Culkin",Three career criminals find themselves trapped in a warehouse with the law closing in and an even worse threat waiting inside - a nigh unstoppable killer dog.
Dead Trigger,429,"Mike Cuff,Scott Windhauser","Dolph Lundgren,Autumn Reeser,Romeo Miller,Isaiah Washington","A mysterious virus has killed billions and turned many others into bloodthirsty zombies. Unable to stop the virus, the government develops a video game, ""Dead Trigger,"" that mirrors the terrifying events that curse the world."
Amityville: The Awakening,10397,Franck Khalfoun,"Jennifer Jason Leigh,Bella Thorne,Mckenna Grace,Cameron Monaghan","A desperate single mother moves with her three children into the notorious, supposedly haunted, real-life Amityville house to try and use its dark powers to cure her comatose son. Things go horribly wrong."
Toc Toc,5575,Vicente Villanueva,"Paco León,Alexandra Jiménez,Rossy de Palma,Nuria Herrero",The adventures and misadventures of a group of patients with OCD appointed at the same time.
Órbita 9,4752,Hatem Khraiche,"Clara Lago,Álex González,Andrés Parra,Belén Rueda",A girl discovers that the reality of her life isn't as she believes.
Diary of a Wimpy Kid: The Long Haul,5265,David Bowers,"Jason Drucker,Alicia Silverstone,Tom Everett Scott,Charlie Wright",A Heffley family road trip to attend Meemaw's 90th birthday party goes hilariously off course thanks to Greg's newest scheme to get to a video gaming convention.
Mercy,243,Tali Shalom-Ezer,"Kate Mara,Ellen Page,Elias Koteas,Brian Geraghty",The daughter of a man on death row falls in love with a woman on the opposing side of her family's political cause.
The Song of Sway Lake,137,Ari Gold,"Rory Culkin,Robert Sheehan,Isabelle McNally,Mary Beth Peil","Music collector Ollie Sway recruits his only friend, a rowdy Russian drifter, to help him steal a 78 record from his own family's estate."
Undir trénu,1904,Hafsteinn Gunnar Sigurðsson,"Steinþór Hróar Steinþórsson,Edda Björgvinsdóttir,Sigurður Sigurjónsson,Þorsteinn Bachmann","When Baldwin and Inga's next door neighbours complain that a tree in their backyard casts a shadow over their sundeck, what starts off as a typical spat between neighbours in the suburbs unexpectedly and violently spirals out of control."
Finding Your Feet,3443,Richard Loncraine,"Imelda Staunton,Celia Imrie,Timothy Spall,Joanna Lumley","On the eve of retirement a middle class, judgmental snob discovers her husband has been having an affair with her best friend and is forced into exile with her bohemian sister who lives on an impoverished inner-city council estate."
Time Trap,5378,"Mark Dennis,Ben Foster","Andrew Wilson,Cassidy Gifford,Brianne Howey,Reiley McClendon",A professor enters a cave and goes missing. Some of his students come looking for him and get trapped in the cave as well. A few seconds in the cave equals a year outside.
Disney's Newsies the Broadway Musical,1350,"Jeff Calhoun,Brett Sullivan","Jeremy Jordan,Kara Lindsay,Ben Fankhauser,Andrew Keenan-Bolger","Filmed live on stage at the Pantages Theatre in Hollywood, CA, this not-to-be-missed high energy show stars Original Broadway cast members Jeremy Jordan as ""Jack Kelly,"" Kara Lindsay as ""...                See full summary »"
6 Below: Miracle on the Mountain,4479,Scott Waugh,"Josh Hartnett,Mira Sorvino,Sarah Dumont,Kale Culley","An adrenaline seeking snowboarder gets lost in a massive winter storm in the back country of the High Sierras where he is pushed to the limits of human endurance and forced to battle his own personal demons as he fights for survival...."""
Just Getting Started,4367,Ron Shelton,"Morgan Freeman,Tommy Lee Jones,Rene Russo,Joe Pantoliano","A two-hander action comedy in the vein of Midnight Run (1988), about an ex-F.B.I. Agent (Tommy Lee Jones) and an ex-mob lawyer in the Witness Protection Program (Morgan Freeman) having to put aside their petty rivalry on the golf course to fend off a mob hit."
The Breadwinner,12616,Nora Twomey,"Saara Chaudry,Soma Chhaya,Noorin Gulamgaus,Laara Sadiq","In 2001, Afghanistan is under the control of the Taliban. When her father is captured, a determined young girl disguises herself as a boy in order to provide for her family."
Godzilla: Planet of the Monsters,5663,"Hiroyuki Seshita,Kôbun Shizuno","Mamoru Miyano,Takahiro Sakurai,Kana Hanazawa,Tomokazu Sugita","Years into the future and the human race has been defeated several times by the new ruling force of the planet: ""kaijus"". And the ruler of that force is Godzilla, The King of the Monsters. ...                See full summary »"
Jusqu'à la garde,4824,Xavier Legrand,"Léa Drucker,Denis Ménochet,Thomas Gioria,Mathilde Auneveux",A broken marriage leads to a bitter custody battle with an embattled son at the centre.
Bokeh,5717,"Geoffrey Orthwein,Andrew Sullivan","Maika Monroe,Matt O'Leary,Arnar Jónsson,Gunnar Helgason","On a romantic getaway to Iceland, a young American couple wake up one morning to discover every person on earth has disappeared. Their struggle to survive and to reconcile the mysterious ...                See full summary »"
Brad's Status,12310,Mike White,"Ben Stiller,Austin Abrams,Jenna Fischer,Michael Sheen",A father takes his son to tour colleges on the East Coast and meets up with an old friend who makes him feel inferior about his life's choices.
Bad Match,2490,David Chirchirillo,"Lili Simmons,Noureen DeWulf,Kahyun Kim,Jack Cutmore-Scott",An internet-dating playboy's life spirals out of control after meeting a woman online.
Outlaws,177,Stephen McCallum,"Ryan Corr,Abbey Lee,Simone Kessell,Josh McConville",1% is set within the primal underworld of outlaw motorcycle club gangs. It follows the heir to the throne of a motorcycle club who has to betray his president to save his brother's life.
Acts Of Vengeance,6803,Isaac Florentine,"Antonio Banderas,Karl Urban,Paz Vega,Cristina Serafini","A fast-talking lawyer transforms his body and takes a vow of silence, not to be broken until he finds out who killed his wife and daughter and has his revenge."
American Satan,2380,Ash Avildsen,"Andy Biersack,Booboo Stewart,Ben Bruce,John Bradley","A young rock band, half of its members from England and half from the U.S., drops out of college and moves to the Sunset Strip to chase their dreams."
The Sense of an Ending,4748,Ritesh Batra,"Jim Broadbent,Charlotte Rampling,Harriet Walter,Michelle Dockery",A man becomes haunted by his past and is presented with a mysterious legacy that causes him to re-think his current situation in life.
Creep 2,11849,Patrick Brice,"Karan Soni,Mark Duplass,Desiree Akhavan,Kyle Field","A video artist looking for work drives to a remote house in the forest to meet a man claiming to be a serial killer. But after agreeing to spend the day with him, she soon realizes that she made a deadly mistake."
The Cakemaker,2416,Ofir Raul Graizer,"Tim Kalkhof,Sarah Adler,Roy Miller,Zohar Shtrauss",A German pastry maker travels to Jerusalem in search of the wife and son of his dead lover.
Euphoria,2196,Lisa Langseth,"Alicia Vikander,Eva Green,Charlotte Rampling,Charles Dance",Sisters in conflict travelling through Europe toward a mystery destination.
Boo 2! A Madea Halloween,3147,Tyler Perry,"Tyler Perry,Cassi Davis,Patrice Lovely,Yousef Erakat","Madea, Bam, and Hattie venture to a haunted campground and the group must run for their lives when monsters, goblins, and the boogeyman are unleashed."
Permission,2786,Brian Crano,"Rebecca Hall,Dan Stevens,Gina Gershon,François Arnaud",A woman on the brink of a marriage proposal is told by a friend that she should date other men before spending the rest of her life with her boyfriend.
iBoy,15702,Adam Randall,"Bill Milner,Maisie Williams,Miranda Richardson,Rory Kinnear","After being shot, Tom wakes from a coma to discover that fragments of his smart phone have been embedded in his head, and worse, that returning to normal teenage life is impossible because he has developed a strange set of superpowers."
Let the Sunshine In,3761,Claire Denis,"Juliette Binoche,Xavier Beauvois,Philippe Katerine,Josiane Balasko","Isabelle, Parisian artist, divorced mother, is looking for love, true love at last."
Starship Troopers: Traitor of Mars,4092,"Shinji Aramaki,Masaru Matsumoto","Casper Van Dien,Dina Meyer,DeRay Davis,Justin Doran","Federation trooper Johnny Rico is ordered to work with a group of new recruits on a satellite station on Mars, where giant bugs have decided to target their next attack."
Black Butterfly,9977,Brian Goodman,"Antonio Banderas,Jonathan Rhys Meyers,Piper Perabo,Vincent Riotta","Outside a mountain town grappling with a series of abductions and murders, Paul (Antonio Banderas), a reclusive writer, struggles to start what he hopes will be a career-saving screenplay. ...                See full summary »"
The Leisure Seeker,4638,Paolo Virzì,"Helen Mirren,Donald Sutherland,Christian McKay,Janel Moloney",A runaway couple go on an unforgettable journey in the faithful old RV they call The Leisure Seeker.
Resident Evil: Vendetta,8355,Takanori Tsujimoto,"Kevin Dorman,Matthew Mercer,Erin Cahill,John DeMita","Chris Redfield enlists the help of Leon S. Kennedy and Rebecca Chambers to stop a death merchant, with a vengeance, from spreading a deadly virus in New York."
Trouble,108,Theresa Rebeck,"Anjelica Huston,Bill Pullman,David Morse,Julia Stiles",Middle-aged siblings feud over possession of their father's estate in this sibling rivalry dramatic comedy.
Mayhem,11174,Joe Lynch,"Steven Yeun,Samara Weaving,Steven Brand,Caroline Chikezie",A virus spreads through an office complex causing white collar workers to act out their worst impulses.
Dark River,1983,Clio Barnard,"Ruth Wilson,Jonah Russell,Mark Stanley,Paul Roberson","Following the death of her father, Alice (Ruth Wilson) returns to her home village for the first time in 15 years, to claim the tenancy to the family farm she believes is rightfully hers."
Voice from the Stone,8147,Eric D. Howell,"Emilia Clarke,Marton Csokas,Caterina Murino,Remo Girone","Set in 1950s Tuscany, Voice from the Stone is the haunting and suspenseful story of Verena, a solemn nurse drawn to aid a young boy who has fallen silent since the sudden passing of his mother."
"I Love You, Daddy",2989,Louis C.K.,"Louis C.K.,Chloë Grace Moretz,Rose Byrne,Charlie Day","When a successful television writer's daughter becomes the interest of an aging filmmaker with an appalling past, he becomes worried about how to handle the situation."
Rememory,12545,Mark Palansky,"Peter Dinklage,Matt Ellis,Jordana Largy,Martin Donovan","Gordon Dunn, a famed scientific pioneer, is mysteriously found dead just after the unveiling of his newest work, a groundbreaking device able to extract, record and play a person's ...                See full summary »"
Bareilly Ki Barfi,11714,Ashwiny Iyer Tiwari,"Ayushmann Khurrana,Kriti Sanon,Rajkummar Rao,Pankaj Tripathi","Set in the small-town of Bareilly, Bitti is a free-spirited young girl who lives life on her own terms and refuses to be pressured into getting married. Her life takes a shift when she meets Chirag Dubey and Pritam Vidrohi."
