Movie,Genre,Runtime,Imdb_Rating,Metascore_Rating
On Chesil Beach,"Drama, Music, Romance",110 min,6.3,62
Victoria & Abdul,"Biography, Drama, History",111 min,6.8,58
Zama,Drama,115 min,6.7,89
Dry Blood,Horror,83 min,4.9,0
The Cured,"Drama, Horror, Sci-Fi",95 min,5.5,57
How to Talk to Girls at Parties,"Comedy, Music, Romance",102 min,5.8,50
Bleeding Steel,"Action, Sci-Fi, Thriller",109 min,5.2,43
Sleepwalker,Thriller,88 min,5.0,0
Sand Castle,"Drama, War",113 min,6.3,45
My Cousin Rachel,"Drama, Mystery, Romance",106 min,6.0,63
Pilgrimage,"Adventure, Drama, Mystery",96 min,5.8,60
Mark Felt: The Man Who Brought Down the White House,"Biography, Drama, History",103 min,6.4,49
Shock and Awe,"Biography, Drama, History",90 min,5.9,47
Errementari,"Fantasy, Horror",98 min,6.4,0
Marshall,"Biography, Crime, Drama",118 min,7.2,66
Hangman,"Crime, Mystery, Thriller",98 min,5.2,31
Columbus,Drama,100 min,7.2,89
Kidnap,"Crime, Drama, Thriller",95 min,5.9,44
The Clapper,Comedy,89 min,5.1,21
Lean on Pete,"Adventure, Drama",121 min,7.2,80
Pokémon the Movie: I Choose You!,"Animation, Action, Adventure",98 min,6.4,0
Naked,"Comedy, Fantasy, Romance",96 min,5.4,36
Killing Gunther,"Action, Comedy",92 min,4.7,53
The Beyond,Sci-Fi,103 min,4.8,0
Unforgettable,"Drama, Thriller",100 min,5.1,45
Inconceivable,"Drama, Thriller",105 min,5.2,0
Fullmetal Alchemist,"Action, Adventure, Fantasy",135 min,5.8,48
Best F(r)iends: Volume 1,"Comedy, Drama, Thriller",108 min,5.8,0
6 Days,"Action, Drama, History",94 min,6.2,36
Western,Drama,121 min,7.1,81
All Eyez on Me,"Biography, Drama, Music",139 min,5.8,38
Beach Rats,Drama,98 min,6.4,78
Guardians,"Action, Sci-Fi",89 min,4.0,0
Sweet Virginia,"Drama, Thriller",93 min,6.2,72
Our Souls at Night,"Drama, Romance",103 min,6.9,69
El bar,"Comedy, Horror, Thriller",102 min,6.3,0
The Wall,"Drama, Thriller, War",88 min,6.2,57
Beast of the Water,Adventure,83 min,3.5,0
Snatched,"Action, Adventure, Comedy",90 min,4.5,45
First They Killed My Father,"Biography, Drama, History",136 min,7.2,72
The Ottoman Lieutenant,"Drama, War",106 min,6.7,26
Madame,"Comedy, Drama, Romance",91 min,6.1,45
Film Stars Don't Die in Liverpool,"Biography, Drama, Romance",105 min,6.7,65
Pahuna: The Little Visitors,"Drama, Mystery",88 min,7.8,0
Megan Leavey,"Biography, Drama, War",116 min,7.1,66
The Boy Downstairs,"Comedy, Drama, Romance",91 min,5.7,59
Alien Code,"Mystery, Sci-Fi, Thriller",97 min,5.5,0
F*&% the Prom,"Comedy, Drama",92 min,4.3,0
Askeladden - I Dovregubbens hall,Adventure,104 min,6.1,0
My Little Pony: The Movie,"Animation, Action, Adventure",99 min,6.1,39
Loveless,Drama,127 min,7.7,86
The Humanity Bureau,"Adventure, Sci-Fi, Thriller",95 min,5.0,0
Sweet Country,"Adventure, Crime, Drama",113 min,6.9,87
Cult of Chucky,"Horror, Thriller",91 min,5.2,69
The Party,"Comedy, Drama",71 min,6.6,73
Same Kind of Different as Me,"Biography, Drama",119 min,6.5,47
Stratton,"Action, Thriller",95 min,4.8,26
Breath,"Drama, Sport",115 min,6.8,71
Wish Upon,"Fantasy, Horror, Thriller",90 min,5.0,32
Ayla: The Daughter of War,"Drama, History, War",125 min,8.8,0
OtherLife,"Crime, Mystery, Sci-Fi",96 min,6.3,0
Kings,"Crime, Drama, Romance",92 min,4.9,34
SPF-18,Romance,75 min,3.3,0
Captain Underpants: The First Epic Movie,"Animation, Action, Comedy",89 min,6.2,69
Please Stand By,"Comedy, Drama",93 min,6.7,49
Jeepers Creepers III,"Action, Horror, Mystery",100 min,4.0,0
Vengeance: A Love Story,"Crime, Drama, Thriller",99 min,5.2,0
Mary and the Witch's Flower,"Animation, Adventure, Family",103 min,6.8,75
Mom,"Crime, Drama, Thriller",146 min,7.3,0
Sandy Wexler,"Biography, Comedy",130 min,5.1,40
The Lodgers,"Drama, Horror, Romance",92 min,5.1,52
Loophole,Drama,86 min,2.8,0
Goon: Last of the Enforcers,"Comedy, Sport",101 min,5.8,48
24 Hours to Live,"Action, Sci-Fi, Thriller",93 min,5.7,37
Double Lover,"Drama, Romance, Thriller",107 min,6.2,70
Super Dark Times,"Drama, Thriller",103 min,6.6,75
Open Water 3: Cage Dive,"Adventure, Drama, Thriller",80 min,4.1,0
How to Be a Latin Lover,"Comedy, Drama",115 min,5.9,54
The Forgiven,Thriller,115 min,5.8,41
All of You,"Drama, Romance",103 min,4.0,0
Wonderstruck,"Drama, Mystery",116 min,6.2,71
Overdrive,"Action, Thriller",93 min,5.4,0
On Body and Soul,"Drama, Fantasy, Romance",116 min,7.6,77
Pengabdi Setan,"Drama, Horror, Mystery",107 min,6.8,0
A Fantastic Woman,Drama,104 min,7.2,86
Little Evil,"Comedy, Horror",94 min,5.7,0
Belzebuth,Horror,114 min,6.5,0
The Pirates of Somalia,"Biography, Drama",116 min,6.8,54
Clinical,"Horror, Thriller",104 min,5.1,0
The Star,"Animation, Adventure, Comedy",86 min,6.1,42
Attraction,"Romance, Sci-Fi",117 min,5.5,0
The Vault,"Crime, Horror, Mystery",91 min,4.8,50
A Crooked Somebody,"Drama, Thriller",102 min,6.1,74
Trauma,"Action, Drama, Horror",106 min,5.6,0
November Criminals,"Crime, Drama, Mystery",107 min,5.3,31
The House of Tomorrow,"Comedy, Drama",85 min,6.1,58
Radius,"Sci-Fi, Thriller",93 min,6.2,0
Pyewacket,"Drama, Horror, Thriller",90 min,5.8,56
Patti Cake$,"Drama, Music",109 min,6.7,67
Bullet Head,"Crime, Drama, Thriller",93 min,5.3,51
Dead Trigger,"Action, Horror, Sci-Fi",91 min,4.3,0
Amityville: The Awakening,"Horror, Thriller",85 min,4.9,42
Toc Toc,Comedy,90 min,6.7,0
Órbita 9,"Drama, Romance, Sci-Fi",95 min,5.9,0
Diary of a Wimpy Kid: The Long Haul,"Comedy, Family",91 min,4.4,39
Mercy,"Drama, Romance",103 min,5.6,0
The Song of Sway Lake,"Drama, Musical, Romance",100 min,6.3,51
Undir trénu,"Comedy, Drama",89 min,7.0,75
Finding Your Feet,"Comedy, Drama, Music",111 min,6.6,53
Time Trap,"Action, Adventure, Sci-Fi",87 min,6.6,0
Disney's Newsies the Broadway Musical,Musical,149 min,8.6,0
