Movie,Genre,Runtime,Imdb_Rating,Metascore_Rating,Release_date,Popularity,Votes,Director,Stars,Description
All the Money in the World,"Biography, Crime, Drama",132 min,6.8,72,2017-12-21,12.177,56351,Ridley Scott,"Michelle Williams,Christopher Plummer,Mark Wahlberg,Romain Duris",The story of the kidnapping of 16-year-old John Paul Getty III and the desperate attempt by his devoted mother to convince his billionaire grandfather Jean Paul Getty to pay the ransom.
American Made,"Action, Biography, Comedy",115 min,7.2,65,2017-08-17,14.129,123886,Doug Liman,"Tom Cruise,Domhnall Gleeson,Sarah Wright,Jesse Plemons","The story of Barry Seal, an American pilot who became a drug-runner for the CIA in the 1980s in a clandestine operation that would be exposed as the Iran-Contra Affair."
The Dark Tower,"Action, Adventure, Fantasy",95 min,5.7,34,2017-08-03,16.301,102254,Nikolaj Arcel,"Idris Elba,Matthew McConaughey,Tom Taylor,Dennis Haysbert","The last Gunslinger: Roland Deschain, has been locked in an eternal battle with Walter O'Dim, also known as the Man in Black, and determined to prevent him from toppling the Dark Tower that holds the universe together. With the fate of the world at stake, good and evil will collide in the ultimate battle, as only Roland can defend the Tower from the Man in Black."
Power Rangers,"Action, Adventure, Sci-Fi",124 min,6.0,44,2017-03-23,15.472,88630,Dean Israelite,"Dacre Montgomery,Naomi Scott,RJ Cyler,Ludi Lin","A group of high-school students, who are infused with unique superpowers, harness their abilities in order to save the world."
Only the Brave,"Action, Biography, Drama",134 min,7.7,72,2017-09-22,15.454,41503,Joseph Kosinski,"Josh Brolin,Miles Teller,Jeff Bridges,Jennifer Connelly","Based on the true story of the Granite Mountain Hotshots, a group of elite firefighters who risk everything to protect a town from a historic wildfire."
Cargo,"Drama, Horror, Sci-Fi",105 min,6.3,65,2017-10-06,15.245,24560,"Ben Howling,Yolanda Ramke","Martin Freeman,Anthony Hayes,Susie Porter,Caren Pistorius","After an epidemic spreads all over Australia, a father searches for someone willing to protect his daughter."
The Bookshop,Drama,113 min,6.5,62,2017-11-10,8.819,6381,Isabel Coixet,"Emily Mortimer,Bill Nighy,Hunter Tremayne,Honor Kneafsey","England 1959. In a small East Anglian town, Florence Green decides, against polite but ruthless local opposition, to open a bookshop."
Ferdinand,"Animation, Adventure, Comedy",108 min,6.7,58,2017-12-09,14.023,37499,Carlos Saldanha,"John Cena,Kate McKinnon,Bobby Cannavale,Jack Gore","After Ferdinand, a bull with a big heart, is mistaken for a dangerous beast, he is captured and torn from his home. Determined to return to his family, he rallies a misfit team on the ultimate adventure."
The Space Between Us,"Adventure, Drama, Romance",120 min,6.4,33,2017-01-26,10.881,38833,Peter Chelsom,"Gary Oldman,Asa Butterfield,Carla Gugino,Britt Robertson","The first human born on Mars travels to Earth for the first time, experiencing the wonders of the planet through fresh eyes. He embarks on an adventure with a street smart girl to discover how he came to be."
T2 Trainspotting,Drama,117 min,7.2,67,2017-01-27,10.454,91806,Danny Boyle,"Ewan McGregor,Ewen Bremner,Jonny Lee Miller,Robert Carlyle","After 20 years abroad, Mark Renton returns to Scotland and reunites with his old friends Sick Boy, Spud, and Begbie."
Shot Caller,"Crime, Drama, Thriller",121 min,7.3,59,2017-07-13,13.322,54435,Ric Roman Waugh,"Nikolaj Coster-Waldau,Omari Hardwick,Lake Bell,Jon Bernthal",A newly released prisoner is forced by the leaders of his gang to orchestrate a major crime with a brutal rival gang on the streets of Southern California.
The Little Hours,"Comedy, Romance",90 min,5.8,69,2017-06-30,8.094,13894,Jeff Baena,"Alison Brie,Dave Franco,Kate Micucci,Aubrey Plaza","In the Middle Ages, a young servant fleeing from his master takes refuge at a convent full of emotionally unstable nuns. Introduced as a deaf mute man, he must fight to hold his cover as the nuns try to resist temptation."
The Foreigner,"Action, Crime, Drama",113 min,7.0,55,2017-09-28,13.789,77438,Martin Campbell,"Katie Leung,Jackie Chan,Rufus Jones,Mark Tandy","A humble businessman with a buried past seeks justice when his daughter is killed in an act of terrorism. A cat-and-mouse conflict ensues with a government official, whose past may hold clues to the killers' identities."
Paddington 2,"Adventure, Comedy, Family",103 min,7.9,88,2017-11-09,11.415,42396,Paul King,"Ben Whishaw,Hugh Grant,Hugh Bonneville,Sally Hawkins","Paddington, now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's 100th birthday, only for the gift to be stolen."
Annabelle: Creation,"Horror, Mystery, Thriller",109 min,6.5,62,2017-08-03,16.798,84858,David F. Sandberg,"Anthony LaPaglia,Samara Lee,Miranda Otto,Brad Greenquist","12 years after the tragic death of their little girl, a dollmaker and his wife welcome a nun and several girls from a shuttered orphanage into their home, where they soon become the target of the dollmaker's possessed creation, Annabelle."
The Babysitter,"Comedy, Horror",85 min,6.3,0,2017-10-13,14.162,43196,McG,"Judah Lewis,Samara Weaving,Robbie Amell,Hana Mae Lee",The events of one evening take an unexpected turn for the worst for a young boy trying to spy on his babysitter.
The Snowman,"Crime, Drama, Mystery",119 min,5.1,23,2017-10-12,13.684,45227,Tomas Alfredson,"Michael Fassbender,Rebecca Ferguson,Charlotte Gainsbourg,Jonas Karlsson",Detective Harry Hole investigates the disappearance of a woman whose scarf is found wrapped around an ominous-looking snowman.
Before I Fall,"Drama, Fantasy, Mystery",98 min,6.4,58,2017-03-02,12.212,37097,Ry Russo-Young,"Zoey Deutch,Halston Sage,Cynthy Wu,Medalion Rahimi","February 12 is just another day in Sam's charmed life, until it turns out to be her last. Stuck reliving her last day over and over, Sam untangles the mystery around her death and discovers everything she's losing."
Battle of the Sexes,"Biography, Comedy, Drama",121 min,6.7,73,2017-09-05,10.022,40799,"Jonathan Dayton,Valerie Faris","Emma Stone,Steve Carell,Andrea Riseborough,Sarah Silverman",The true story of the 1973 tennis match between World number one Billie Jean King and ex-champ and serial hustler Bobby Riggs.
