Movie,Release_date,Popularity
Destruction: Los Angeles,2017-09-21,9.168
The Wizard of Lies,2017-05-21,9.161
Madame,2017-08-17,9.138
Tad the Lost Explorer and the Secret of King Midas,2017-03-25,9.115
Okja,2017-06-28,9.113
Batman and Harley Quinn,2017-08-14,9.105
My Friend Dahmer,2017-11-03,9.081
Snatched,2017-05-03,9.043
Fullmetal Alchemist,2017-12-01,9.024
Movie,Release_date,Popularity
Marrowbone,2017-10-27,9.018
Mom and Dad,2017-09-09,9.008
Wonder Wheel,2017-12-01,9.005
All Eyez on Me,2017-06-12,8.992
The Shack,2017-03-03,8.991
Loving Vincent,2017-06-22,8.991
First Kill,2017-07-21,8.989
The Bye Bye Man,2017-01-12,8.985
OtherLife,2017-06-16,8.969
Tulip Fever,2017-07-13,8.961
Berlin Syndrome,2017-05-25,8.959
Happy Family,2017-08-24,8.901
Starship Troopers: Traitor of Mars,2017-08-21,8.891
Rebel in the Rye,2017-09-15,8.884
The Wall,2017-05-12,8.85
Small Crimes,2017-04-28,8.846
Guardians,2017-02-14,8.831
A Christmas Prince,2017-11-17,8.824
War Machine,2017-05-26,8.823
The Bookshop,2017-11-10,8.819
Movie,Release_date,Popularity
Loving Pablo,2017-10-12,8.797
Wish Upon,2017-07-07,8.795
How to Be a Latin Lover,2017-04-28,8.784
Cold Skin,2017-10-20,8.767
The Discovery,2017-03-31,8.744
Overdrive,2017-06-29,8.741
Suburbicon,2017-10-26,8.729
The Rider,2017-08-16,8.704
R.A.I.D. Special Unit,2017-02-01,8.677
Stratton,2017-07-06,8.674
Megan Leavey,2017-06-09,8.657
I Don't Feel at Home in This World Anymore,2017-01-19,8.632
Prodigy,2017-03-04,8.631
24 Hours to Live,2017-10-26,8.614
Brawl in Cell Block 99,2017-09-23,8.613
Diary of a Wimpy Kid: The Long Haul,2017-05-19,8.591
Trespass Against Us,2017-01-20,8.589
Breathe,2017-10-13,8.564
The Ottoman Lieutenant,2017-03-10,8.526
The Recall,2017-06-02,8.51
Movie,Release_date,Popularity
Sweet Virginia,2017-11-17,8.494
With Open Arms,2017-04-05,8.435
The Insult,2017-09-14,8.431
Aftermath,2017-02-28,8.379
Extortion,2017-01-02,8.373
Killing Gunther,2017-09-22,8.358
Cage Dive,2017-08-11,8.358
All I See Is You,2017-08-10,8.358
BPM (Beats per Minute),2017-08-23,8.347
Cocaine Godmother,2017-11-12,8.342
"Roman J. Israel, Esq.",2017-11-17,8.341
Muse,2017-11-29,8.341
A Bag of Marbles,2017-01-18,8.301
Double Lover,2017-05-26,8.293
Slumber,2017-12-01,8.281
Columbus,2017-08-04,8.267
Keep Watching,2017-05-04,8.257
Racer and the Jailbird,2017-09-08,8.25
Stronger,2017-09-22,8.226
